2024-01-11 17:12:46
Post Name : C-BIO_2

Batch Name : 20221003 PHNPhVal

Date;1TE01 - Temperature;1AE02 - Oxygene dissous;1AE03 - pH;1AE05 - Libre 1;1AE06 - Libre 2;1MT01 - Agitation;1PP23 - Pompe 01PP23;1AE01 - Anti-Mousse;1FV50 - Air;1SC01 - Agitation_MV;1SC01 - Agitation_SP;1SC01 - Agitation_OUT;1TC01 - Temperature_MV;1TC01 - Temperature_SP;1TC01 - Temperature_OUT;1AC03 - Oxygene Dissous_MV;1AC03 - Oxygene Dissous_SP;1AC03 - Oxygene Dissous_OUT;1AC04 - pH_MV;1AC04 - pH_SP;1AC04 - pH_OUT;1AC01 - Anti Mousse_MV;1AC01 - Anti Mousse_SP;1AC01 - Anti Mousse_OUT;1PC23 - Pompe 01PP23_MV;1PC23 - Pompe 01PP23_SP;1PC23 - Pompe 01PP23_OUT;1FC50 - Air_MV;1FC50 - Air_SP;1FC50 - Air_OUT;1AC05 - Libre 1_MV;1AC05 - Libre 1_SP;1AC05 - Libre 1_OUT;1AC06 - Libre 2_MV;1AC06 - Libre 2_SP;1AC06 - Libre 2_OUT;1XC01 - Calcul 1_MV;1XC01 - Calcul 1_SP;1XC01 - Calcul 1_OUT;1XC02 - Calcul 2_MV;1XC02 - Calcul 2_SP;1XC02 - Calcul 2_OUT;1XC03 - Calcul 3_MV;1XC03 - Calcul 3_SP;1XC03 - Calcul 3_OUT;1XC04 - Calcul 4_MV;1XC04 - Calcul 4_SP;1XC04 - Calcul 4_OUT;1XC05 - Calcul 5_MV;1XC05 - Calcul 5_SP;1XC05 - Calcul 5_OUT;1XC06 - Calcul 6_MV;1XC06 - Calcul 6_SP;1XC06 - Calcul 6_OUT;COMMENT;
03/10/2022 18:22:23;30,021984;96,194862;7,017777;-0,209686;-109,183167;400;8;0;0,49995;400;400;40;30,021984;30;0;96,194862;30;-100;7,017777;7;0;0;0;0;8;10;0;0,49995;0,5;5;-0,209686;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:22:53;30,021984;96,161537;6,999531;-0,149597;-109,183167;400;8;0;0,500208;400;400;40;30,021984;30;0;96,161537;30;-100;6,999531;7;0;0;0;0;8;10;0;0,500208;0,5;5;-0,149597;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:23:23;30,021984;96,174873;7,026666;-0,149597;-109,183167;400;8;0;0,500134;400;400;40;30,021984;30;0;96,174873;30;-100;7,026666;7;0;0;0;0;8;10;0;0,500134;0,5;5;-0,149597;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:23:53;30,018986;96,161537;7,030409;-0,169617;-109,183167;400;8;0;0,499863;400;400;40;30,018986;30;0;96,161537;30;-100;7,030409;7;0;0;0;0;8;10;0;0,499863;0,5;5;-0,169617;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:24:23;30,018986;96,747963;7,024327;-0,209686;-109,183167;400;8;0;0,500018;400;400;40;30,018986;30;0;96,747963;30;-100;7,024327;7;0;0;0;0;8;10;0;0,500018;0,5;5;-0,209686;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:24:53;30,021984;96,154884;7,000935;-0,169617;-109,183167;400;8;0;0,500072;400;400;40;30,021984;30;0;96,154884;30;-100;7,000935;7;0;0;0;0;8;10;0;0,500072;0,5;5;-0,169617;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:25:23;30,021984;96,208183;7,00421;-0,209686;-109,183167;400;8;0;0,499823;400;400;40;30,021984;30;0;96,208183;30;-100;7,00421;7;0;0;0;0;8;10;0;0,499823;0,5;5;-0,209686;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:25:53;30,027973;96,154884;7,04117;-0,209686;-109,183167;400;8;0;0,500167;400;400;40;30,027973;30;0;96,154884;30;-100;7,04117;7;0;0;0;0;8;10;0;0,500167;0,5;5;-0,209686;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:26:23;30,021984;96,761284;6,989706;-0,209686;-109,183167;400;8;0;0,499881;400;400;40;30,021984;30;0;96,761284;30;-100;6,989706;7;0;0;0;0;8;10;0;0,499881;0,5;5;-0,209686;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:26:53;30,027973;96,661339;7,030409;-0,169617;-109,183167;400;8;0;0,499779;400;400;40;30,027973;30;0;96,661339;30;-100;7,030409;7;0;0;0;0;8;10;0;0,499779;0,5;5;-0,169617;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
